"Model","MAE","MSE","RMSE","MAPE","R2","Cluster"
"Random Forest",571.668756107331,742327.589191476,861.584348274431,24.4273553847247,0.561998716996883,"2"
"SVM",633.265969762847,803255.94016122,896.245468697733,27.9212391166708,0.52604869131472,"2"
"Neural Network",664.638858784422,847250.78671542,920.462267947698,32.5213177049124,0.500090072078631,"2"
"XGBoost",690.586700578014,1043069.95664726,1021.30796366584,29.7778564923646,0.384549374257914,"3"
"Multiple Regression",741.554425732965,1161650.17623201,1077.79876425612,34.0815913699946,0.314582571092911,"3"
"Elastic Net",745.545693866362,1181101.6305223,1086.78499737634,34.3530688352328,0.303105479227444,"3"
"Lasso",745.720271181785,1181631.28575871,1087.02864992543,34.3552084593922,0.302792962655952,"3"
"Simple Regression",851.258696930072,1505433.4109148,1226.96104702423,40.6150846150264,0.11173749291115,"1"
"ANN",746.5318962967,1663390.95546836,1289.72514725749,37.8803040490487,0.0185365824481079,"1"
